,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
42,https://boston.craigslist.org/gbs/apa/d/west-roxbury-gorgeous-renovated-bed-in/7514178801.html,Wed 27 Jul 05:38:19 PM,3100.0,3,1.0,1150.0,7.27639,"(2520, 3300]"
44,https://boston.craigslist.org/gbs/apa/d/cambridge-luxury-2br-2ba-1-alewife/7514148386.html,Wed 27 Jul 04:30:25 PM,3600.0,2,2.0,991.0,6.03301,"(3300, 5100]"
45,https://boston.craigslist.org/gbs/apa/d/brighton-spacious-bed-with-parking-huge/7514148205.html,Wed 27 Jul 04:30:05 PM,3000.0,3,1.0,1200.0,6.28736,"(2520, 3300]"
46,https://boston.craigslist.org/gbs/apa/d/cambridge-alewife-luxury-1br-1/7514145418.html,Wed 27 Jul 04:24:09 PM,3200.0,1,1.0,731.0,6.03301,"(2520, 3300]"
47,https://boston.craigslist.org/gbs/apa/d/somerville-no-fee-huge-bed-bath-central/7514134332.html,Wed 27 Jul 04:01:58 PM,3495.0,2,2.0,1055.0,4.13387,"(3300, 5100]"
51,https://boston.craigslist.org/gbs/apa/d/boston-spacious-bed-subway-shopping/7514076975.html,Wed 27 Jul 02:09:38 PM,2400.0,3,1.0,1100.0,1.90501,"(795, 2520]"
52,https://boston.craigslist.org/gbs/apa/d/dorchester-2bd-2ba-rental-3rd-flr/7514074603.html,Wed 27 Jul 02:04:58 PM,2350.0,2,2.0,750.0,3.80294,"(795, 2520]"
53,https://boston.craigslist.org/gbs/apa/d/somerville-bed-office-private-porch/7514074117.html,Wed 27 Jul 02:04:01 PM,2600.0,2,1.0,1500.0,4.42647,"(2520, 3300]"
55,https://boston.craigslist.org/gbs/apa/d/somerville-amazing-sommerville/7514047214.html,Wed 27 Jul 01:13:16 PM,1233.0,3,1.0,1100.0,3.63308,"(795, 2520]"
56,https://boston.craigslist.org/gbs/apa/d/allston-no-fee-stunning-new-renovation/7514030667.html,Wed 27 Jul 12:43:50 PM,3600.0,3,2.0,1100.0,4.41756,"(3300, 5100]"
57,https://boston.craigslist.org/gbs/apa/d/melrose-melrose-brand-new-be-the-first/7514012689.html,Wed 27 Jul 12:10:46 PM,3625.0,2,2.0,1087.0,7.86347,"(3300, 5100]"
